,release_date,artist,title,album,lyrics
0,2016-07-04,Népal,Rien d’spécial,444 Nuits,"[Paroles de ""Rien d'spécial""]

[Intro]
Space
-pace

[Couplet 1]
J'en ai vu plein d'ces gars
Attitudes de kissman mais ils ont rien d'spécial
Que on tape des barres
Tout l'monde dans la pièce a capté, on fait mine de rien voir
J'me demande c'est quoi les bails
Puis j'me rappelle que j'ai rien d'spécial
Donc j'gratte mais c'est poussif, le charley m'bousille
2 heures après j'capte qu'c'est naze
J'ai cherché mais y'a rien d'spécial, j'suis dans une vibe désat'
J'crois pas qu'j'ai l'choix, gros
C'est pas qu'des blablas
Sur celle-là j'vais pas parler choine
Et même si y'a du monde derrière
Poto, j'vois les choses de l'intérieur
Et sur ma tête que y'a rien d'space
Sur ma, sur ma tête que y'a rien d'space, ma le-gueu c'est...

[Refrain]
Rien d'spécial, ce son il a rien d'spécial
L'instru elle a rien d'spécial
J'sais même pas j'fais quoi, demain ça fait rien d'spécial
Et ça sert à rien d'faire style, gros, y'a rien d'spécial
Tu pensais qu'le chemin était tout tracé
Mais tu t'rappelles que t'as rien d'spécial
Poto, passe nous voir
Poto, passe nous voir
Rien d'spécial, ce son il a rien d'spécial
L'instru elle a rien d'spécial
J'sais même pas j'fais quoi, demain ça fait rien d'spécial
Et ça sert à rien d'faire style, gros, y'a rien d'spécial
Tu pensais qu'le chemin était tout tracé
Mais tu t'rappelles que t'as rien d'spécial
Poto, passe nous voir
Poto, passe nous voir

[Couplet 2]
La vie c'est une brasse
Tu peux sonder les abysses ou nager en surface
Apnée totale, masqué comme d'hab
Les yeux sur l'kilométrage en évitant l'sur-place
Ouais, il suffit d'une passe
On commence sur les davents, on finit sur une patte
C'est plus la même qu'avant, pensée à mes niggas, blavancs
Qui favont qu'le bavail avance, on est venu d'nulle part
J'suis dans une faille temporelle
J'mets des joggings depuis trois piges
Et ce sera ni un deur-vi ni un boss
Qui m'feront changer d'avis
On a headshot la routine
Tous mes gavas disent : ""Youpi !""
Tant qu'y'a l'bout d'shit dans l'blue jeans
Ah... Everything Gucci

[Refrain]
Rien d'spécial, ce son il a rien d'spécial
L'instru elle a rien d'spécial
J'sais même pas j'fais quoi, demain ça fait rien d'spécial
Et ça sert à rien d'faire style, gros, y'a rien d'spécial
Tu pensais qu'le chemin était tout tracé
Mais tu t'rappelles que t'as rien d'spécial
Poto, passe nous voir
Poto, passe nous voir
Rien d'spécial, ce son il a rien d'spécial
L'instru elle a rien d'spécial
J'sais même pas j'fais quoi, demain ça fait rien d'spécial
Et ça sert à rien d'faire style, gros, y'a rien d'spécial
Tu pensais qu'le chemin était tout tracé
Mais tu t'rappelles que t'as rien d'spécial
Poto, passe nous voir
Poto, passe nous voir"
1,2020-01-10,Népal,Trajectoire,Adios Bahamas,"[Paroles de ""Trajectoire""]

[Couplet 1]
J'calcule ma trajectoire car
Une vie peut s'résumer en quatre phrases, néglige pas l'taf
Et vu qu'dehors, c'est un traquenard
J'ai dû contourner avec du vice et un trackpad
J'profite d'un flashback, des disquettes de la SNEP
Bonne action lundi, pas pour être pute les autres jours de la s'maine
Cette ville est sinistre, partout l'ble-dia s'immisce
Faut pas qu'on oublie la magie qu'y'a dans nos iris
Te laisse pas désarmer, la réalité, tu la crées en partie
Chaque action : un grain dans l'sablier qui t'est imparti
Esprit concentré si tu perds pas ton temps
Rassuré par l'amour des nôtres sur l'chemin qu'on prend
Vois-tu ? J'ai arrêté d'essayer d'comprendre ces gens
Qui reprochaient aux autres des erreurs qu'eux-mêmes commettent
À croire qu'ils vivent hors de leur corps, chasseurs de comètes, à s'abreuver d'promesses
Parlent d'élévation mais restent collés comme des posters
Et moi, paro dans mes bails comme d'hab'
En vrai, j'fais léviter mes crottes de nez comme balles
Au bord d'la mer, j'saurais même pas quoi y faire
J'vis mon rêve en silence et j'me prépare pour l'hiver

[Refrain]
C'est quoi la vie si j'peux pas aimer mes gens ?
C'est quoi la vie si j'peux pas élever mes sens ?
C'est quoi la vie si j'peux pas en donner un peu ?
Humilité et force d'aller plus loin quand j'm'en remets à Dieu
C'est quoi la vie si j'peux pas donner l'échange ?
C'est quoi la vie si j'peux pas doubler mes chances ?
C'est quoi la vie si j'peux pas l'apprécier un peu ?
Humilité et force d'aller plus loin quand j'm'en remets

[Couplet 2]
Le démon reste hors d'atteinte tant qu'mon mental est en rotation
C'est pas important d'être riche si nos corps sont d'jà des locations
Je sais qu'j'étais souvent en tort et qu'j'oubliais les autres quand j'partais m'isoler mais ça a pas terni nos relations
On a grandi sous les vents et courants contraires
J'reste cool en concert, j'ai un avenir à rencontrer
Ouais, c'est en étant si différents qu'on s'complète
Analyse le contexte, sur qui tu peux vraiment compter
Certaines choses se passent sous ton nez ou d'l'autre côté du monde
Plutôt mourir vraiment que d'raisonner en foutu zombie
J'pense à mes gars fonce-dé dans la nature
La drogue c'est c'qui fait qu'des gens biens s'reposent pendant qu'des enfoirés travaillent dur
Un émetteur quand tes yeux sont fixés sur moi
La caisse-claire est digne de confiance au milieu d'tous ces humains
Au bord d'la mer, j'saurais même pas quoi y faire
J'vis mon rêve en silence et j'me prépare pour l'hiver

[Refrain]
C'est quoi la vie si j'peux pas aimer mes gens ?
C'est quoi la vie si j'peux pas élever mes sens ?
C'est quoi la vie si j'peux pas en donner un peu ?
Humilité et force d'aller plus loin quand j'm'en remets à Dieu
C'est quoi la vie si j'peux pas donner l'échange ?
C'est quoi la vie si j'peux pas doubler mes chances ?
C'est quoi la vie si j'peux pas l'apprécier un peu ?
Humilité et force d'aller plus loin quand j'm'en remets

[Outro : Nassim Haramein]
C'est important pour les gens, surtout pour les gens qui sont plus conscients de c'qui se passe, qu'ils ne tombent pas dans les théories plus négatives que les gouvernements, que les entreprises ont kidnappé l'humanité en fait. Y'a beaucoup d'choses qui sont vraies là dedans, mais si on se fixe là d'ssus, enfin on participe à cette négativité. C'est important de ne pas devenir c'qu'on combat, c'est-à-dire on ne peut pas changer ce système en faisant la même chose que ce système a fait. Si on devient aussi négatif qu'eux, et qu'on les combat de cette façon, on en arrive au même point. Ça n'aide pas, il faut rester positif, en restant conscients de c'qu'il s'passe sans l'ignorer. Il faut avoir cette joie de vivre, cette ouverture, cette positivité, parce que la négativité, elle, se détruit par elle-même. Tout c'qu'il faut faire, c'est qu'il faut construire le monde qu'on veut voir dans notre futur"
2,2016-07-04,Népal,Suga suga,444 Nuits,"[Paroles de ""Suga suga"" ft. Doums]

[Couplet 1 : Doums]
J'me couche à neuf heures de l'après-minuit
Un dernier joint de kush pour me ramener au lit
Le sommeil m'a zappé
Le destin d'un vendeur de sable
À caisse ou bien à pieds
Paye-moi en pièces ou en papier
Les doros, le wari, le cash
Sur la tête de la madre... à Marine
J'me rangerai, les ients-cli le savent
Fucked up, c'est le système qui nous consume
C'est chacun sa croix, négro fuck et tais-toi
La chanahapa se prend dans la nuit noire
Soit t'es chasseur ou bien soit t'es la proie
Si tu crois qu't'es chasseur, eh bien c'est qu't'es l'appât
Niggiz, t'es locked up

[Refrain : Doums]
Ouais ma le-gueu c'est speed, ouais ma le-gueu c'est speed
Tu voudrais qu'on t'explique mais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed, ouais ma le-gueu c'est speed
Tu voudrais qu'on t'explique mais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed, ouais ma le-gueu c'est speed (higher, higher)
Tu voudrais qu'on t'explique mais ma le-gueu c'est speed (higher, higher)
Ouais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed (higher, higher)
Ouais ma le-gueu c'est speed, ouais ma le-gueu c'est speed (higher, higher)
Tu voudrais qu'on t'explique mais ma le-gueu c'est speed (higher, higher)
Ouais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed

[Pont : Frankie J]
Got me lifted, shifted higher than the ceilin'
And ooohwee, it's the ultimate feelin'
You got me lifted, feeling so gifted
Sugar, how you get so fly
Got me lifted, shifted higher than the ceilin'
And ooohwee, it's the ultimate feelin'
You got me lifted, feeling so gifted
Sugar, how you get so fly

[Couplet 2 : Népal]
T'as l'nez dans la che-blan comme si la vie n'était pas assez speed (n'était pas assez speed)
Où vas-tu en courant ? Si c'est l'tien tu pourras pas rater l'film (tu pourras pas rater l'film)
Si on accélère c'est plus par gourmandise que par appétit (que par appétit)
L'histoire on la connait : virage à 200, t'es paraplégique (skrrrt)
J'ai aujourd'hui l'impression qu'le système est bien pire qu'un ennemi (pow pow pow pow)
J'existe à travers lui : azerty, azerty, azerty
Comme un virus au sein d'la matrice
Ce n'est pas dans mon plan d'm'enfumer à Maastricht
Paris te mâche, te recrache, Paris est magique

[Refrain : Doums]
Ouais ma le-gueu c'est speed, ouais ma le-gueu c'est speed
Tu voudrais qu'on t'explique mais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed, ouais ma le-gueu c'est speed
Tu voudrais qu'on t'explique mais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed (higher, higher)
Ouais ma le-gueu c'est speed, ouais ma le-gueu c'est speed
Tu voudrais qu'on t'explique mais ma le-gueu c'est speed (higher, higher)
Ouais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed (higher, higher)
Ouais ma le-gueu c'est speed, ouais ma le-gueu c'est speed
Tu voudrais qu'on t'explique mais ma le-gueu c'est speed (higher, higher)
Ouais ma le-gueu c'est speed
Ouais ma le-gueu c'est speed

[Pont : Frankie J]
Got me lifted, shifted higher than the ceilin'
And ooohwee, it's the ultimate feelin'
You got me lifted, feeling so gifted
Sugar, how you get so fly
Sugar, sugar, how you get so fly
Sugar, sugar, how you get so fly
Sugar, sugar, how you get so fly
Sugar, sugar, how you get so fly

[Outro]
You know it's leather when we ride
Wood grain and raw hide
Doing what we do, watchin' screens gettin' high
Girl, you keep it so fly, with your sweet honey buns
You was there when the money was gone
You'll be there when the money comes"
3,2020-01-10,Népal,Sundance,Adios Bahamas,"[Paroles de ""Sundance""]

[Refrain]
Du lundi au sunday, bloqué dans ma tête
Ma vie, c'est un film de Sundance, des fois il s'passe r
J'préfère rester en dehors des ennuis
Mais j'ai deux-trois plavans si tu t'ennuies
On reste coffrés dans des bulles d'air, même après l'averse
J'vais pas t'dire que j'aurais pu le faire, j'y vais ou j'la ferme
J'préfère rester en dehors des ennuis
Mais j'ai deux-trois plavans si tu t'ennuies

[Post-refrain]
Tout ça, c'est les autres
On va laisser ça aux autres
Puisque l'enfer, c'est les autres
Pourquoi vouloir faire comme les autres ?

[Couplet unique]
Des fois, j'pense aux injustices, à un monde où pour faire keuf il faudrait être Bac +10
Y'a pas plus de raisons d'avoir peur que d'être serein, si j'ffre-co un milli', c'est pas pour des tartes à la meringue
Quand j'étais p'tit, j'pouvais canner un reufré avec toutes mes histoires
De cette époque, j'ai retenu que l'plus important, c'est d'y croire
Mais un connard qui s'y croit trop, ça j'déteste
Vis au moins ta vie mon gros, si tu vis pas tes textes
J'droppe ça par étape comme dans l'bouquin d'Hermann Hesse
Un jour une ligne de plus et j'parle pas d's, Diab' laisse
Juste un humain bloqué dans la masse d'air
Confonds pas ta destinée et l'ma-né-c', laisse personne te rabaisse
Nos entourages transpirent nos défauts, guette les fréquentations
Mais nos qualités aussi donc on garde les mêmes fondations
Toujours scred, pire qu'un franc-maçon en formation
Et comme un grand garçon, j'fume l'instrumentale de trente façons

[Refrain]
Du lundi au sunday, bloqué dans ma tête
Ma vie, c'est un film de Sundance, des fois il s'passe r
J'préfère rester en dehors des ennuis
Mais j'ai deux-trois plavans si tu t'ennuies
On reste coffrés dans des bulles d'air, même après l'averse
J'vais pas t'dire que j'aurais pu le faire, j'y vais ou j'la ferme
J'préfère rester en dehors des ennuis
Mais j'ai deux-trois plavans si tu t'ennuies

[Post-refrain]
Tout ça, c'est les autres
On va laisser ça aux autres
Puisque l'enfer, c'est les autres
Pourquoi vouloir faire comme les autres ?

[Outro]
Tout ça, c'est les autres
On va laisser ça aux autres
Puisque l'enfer, c'est les autres
Pourquoi vouloir faire comme les autres ?"
4,2020-01-10,Népal,En face,Adios Bahamas,"[Paroles de ""En face"" ft. Nekfeu]

[Intro]
Korekara wa kako wa kesarete iku, susumu tame ni kimi ga atarashii mirai wo kaite ikunda

[Couplet 1 : Népal & Nekfeu]
La première fois qu'j'ai vu la vérité en face (ouais)
J'ai dû comprendre le système qu'on mettait en place (ok)
Nos cerveaux sont complexes et beaucoup d'nos attaches (quoi ?)
On les crée nous-mêmes avec c'qu'on montre et c'qu'on cache (ok)
Est-c'que ma vie s'résume à générer du cash ? (nan)
Est-c'que j'vais subir le produit d'mon éducation ?
Est-c'que si j'reçois d'la violence, j'la redistribue ?
Ou bien j'consolide mon armure pour stopper la dégradation ?
Ensemble, on forme tous une nation, personne t'apprend à penser par toi-même, la réponse est dans la question
Mais l'jour où tu décides de sauter les barrières et d'voler comme un esprit libre, tu sentiras même plus la pression
La vérité s'trouve dans le son d'une voix quand elle ment
Dans les yeux ou dans les mouvements, c'est juste en face, gros
Elle est dans l'amour de tes proches malgré leurs lésions
Dans la force qui fait qu'tu t'lèveras demain pour ta mission

[Refrain : Népal]
Hmm, la vérité s'trouve en face de toi
Hmm, la vérité s'trouve en face de toi
En face de toi, juste en face de toi
Si tu refuses de voir certaines choses tu les verras pas
Hmm, la vérité s'trouve en face de toi
Mais c'est en face de toi, c'est juste en face de toi, ouvre les yeux
Hmm, la vérité s'trouve en face de toi
En face de toi, juste en face de toi
Si tu refuses de voir certaines choses tu les verras pas
Mais c'est en face de toi, c'est juste en face de toi, ouvre les yeux
En face de toi, juste en face de toi
Si tu refuses de voir certaines choses tu les verras pas
Mais c'est en face de toi, c'est juste en face de toi, ouvre les yeux

[Couplet 2 : Nekfeu]
L'argent avant le bon temps, ils considèrent ainsi mes rêves incinérés, on les éclaire quand on s'immole
J'pensais pas qu'on s'ignorait comme Simone, à cause du montant
J'pensais pas qu'on signerait ou qu'on m'assignerait (ouais)
J'te dis même pas c'que ces mecs ulcérés m'ont dit (hein) quand ils ont vu qu'j'serrais mon jean et que j'négocierais mon deal (sans manager)
Qui pouvait croire qu'j'esquiverais leurs cérémonies ? Que Paris Sud serait ma planque, que l'Île-de-France serait mon île
Que sur le plus haut de ces arbres, je n'f'rais qu'un nid (ouh, ouh), un oiseau migrateur aux pensées pan-africanistes
J'suis pas à Paname fréquemment, fréquemment mais aucune ville m'a balafré comme elle
Les casseurs, j'les comprends, s'tu veux savoir : j'les fréquente même
Je me souviens des nes-ski qu'on a ves-qui au square, maintenant le squa est dans les kiosques, qui est-c'qui ose quoi (qui ?) ?
J'suis sur ma mob', mon label assure la maille (ouh)
J'rassure le mob, on est nombreux sur la map (ah ouais), ouais

[Refrain : Nekfeu & Népal]
Hmm, la vérité s'trouve en face de toi (hein)
Hmm, la vérité s'trouve en face de toi
En face de toi, juste en face de toi
Si tu refuses de voir certaines choses tu les verras pas
Hmm, la vérité s'trouve en face de toi
Mais c'est en face de toi, c'est juste en face de toi, ouvre les yeux
Hmm, la vérité s'trouve en face de toi
En face de toi, juste en face de toi
Si tu refuses de voir certaines choses tu les verras pas
Mais c'est en face de toi, c'est juste en face de toi, ouvre les yeux
En face de toi, mais faut qu'tu fasse le poids
Si tu refuse de voir leur hameçon tu d'viens leur appât
Faut qu't'efface tes pas, affiche une face de bois
Népal, Nekfeu

[Outro : Nekfeu]
La première fois qu'j'ai vu la vérité en face
J'ai compris qu'j'étais qu'un lâche, qui vit en décalage (en décalage, en décalage)"
5,2019-12-10,Népal,Daruma,Adios Bahamas,"[Paroles de ""Daruma""]

[Refrain]
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No train in the game, train train in the game
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No train in the game, train train in the game
No

[Couplet 1]
J'ai peint l'ciel couleur lavande (hm), mental dans un scaphandre (hm)
Les aléas, j'les affronte (hm), personne voit l'futur en avance
J'veux pas voir le mal (pas voir le mal) et j'l'entendrai pas non plus (non plus)
On enfonce les barrières (hey), j'vois plus qu'des fréquences qui ondulent (ondulent)
Hey, despi comme Hanumān, chignon tiré tah les samouraïs
2018 dans ma bre-ch', regard fixé sur un daruma
En faisant les bonnes choses comme Spike Lee (Spike Lee), l'ange de gauche a lâché l'teau-mar (teau-mar)
Hors des frontières de ton esprit (esprit), tu peux pas vivre dans un cauchemar (cauchemar)
Persévérance donc j'ai double up (double up), ma confiance placée en très peu d'hommes (très peu d'hommes)
La nuit en studio pour soigner les plaies (hey), le matin, prière et rebelote (rebelote)
Quand t'es solo, y'a pas dix mille mains (no), beaucoup d'jambes écartées comme à midi vingt (yup)
J'deviens fou comme un président philippin (hey), tu peux commencer aveugle et finir peintre

[Refrain]
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No train in the game, train train in the game
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No train in the game, train train in the game
No

[Couplet 2]
J'ai peint l'ciel couleur lavande (hm), triplette à la revente (hm)
Ils s'en battent les steaks de qui tant qu'ça envoie du ki, cinq piges et puis refonte
Wesh la fonte des glaces, rap dans l'under comme Cormega
Laisse aucune blessure colmatable, 2-4-7 quette-ma, on décale (on décale)
Ici, y'a qu'des serpents, des crapauds, tu piges ou faut te l'reformuler en wolof sous-titrés ?
Les nazis repop comme dans Call of Duty car des teubés jugèrent pas la capote utile
Tellement d'blases qu'on va pas citer (hm), pour ainsi dire, j'te laisse de l'espace si t'es (hm), gée-char comme Spicy J (hm)
Trixe-ma despacitée, frelon, reste pas si près (hm), tu risquerais d'être exposé à des mutations pour lesquelles t'avais pas signé (hm)
Que d'l'efficacité, le 7-5 dans tes cavités, remise en question d'la gravité (gravité)
J'ai peint l'ciel couleur lavande (hey), triplette à la revente, hey

[Refrain]
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No train in the game, train train in the game
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No change, no chance, smokin’ train in the game
No train in the game, train train in the game
No"
6,2018-09-23,Népal,Babylone,#KKSHISENSE8,"[Paroles de ""Babylone""]

[Refrain]
Si t'es au stud' comme à l'usine, Babylone a gagné
J'vais pas baiser Kim K ou mettre des middles à Kanye
Mais vu qu'chaque jour qui passe, il s'met un peu plus à cailler
C'est plus dans la calle, approchez l'AKG
J'ai pas l'temps pour les fins d'mois, na never, nagatché
Si t'es dans l'under, il faut péter la 4G

[Couplet 1]
Trop d'histoires noires, gros si j'pouvais t'les cracher
Y'aurait quatre mixtapes, de quoi t'écorcher la trachée
Ouais, les corps gèlent attachés, j'me déter' seul
Tu veux tempête untel gros, tu vas péter l’seum
Si j'le fais, c'est pour mon futur, pas par gaieté d'cœur
Quand elles ont tout elles prennent, quand elles ont R elles turn
J'ai perdu beaucoup d'tavemps pour des futilités
Dieu merci peu d'proches m'ont été subtilisés
Tu traînes avec des javons pour les utiliser
Tu vas finir comme le client qui s'prend pour c'lui qui vi-sser
En gros, partout sauf dans l'contexte
Fuck le décor, j'porte mes défauts comme un chard-clo dans la street sous tise
Drop le com tu connais pas la peine de forcer pas d'comm' toute skinny
Tout c'que j'vole à tort, j'te l'redonne j'vais pas t'ken, te fie pas au sourire
On choisit bien les sous-titres

[Refrain]
Si t'es au stud' comme à l'usine, Babylone a gagné
J'vais pas baiser Kim K ou mettre des middles à Kanye
Mais vu qu'chaque jour qui passe, il s'met un peu plus à cailler
C'est plus dans la calle, approchez l'AKG
J'ai pas l'temps pour les fins d'mois, na never, nagatché
Si t'es dans l'under, il faut péter la 4G

[Couplet 2]
Si j'té-mon en l'air, j'deviens difficile à catcher
Pourtant, ouvre bien les reilles-o gros, y'a R qu'on va cacher
Pas chatouilleux d'la gâchette, guette de face
J'ai l'air inoffensif comme une paire de Van's
Mais lent et arrogant tah les mecs de Paris
Et j'm'arrache loin d'ici quand j'suis en perte de vibes
Savon qui fait planer comme la bête de frappe
Raffiné mais j'obéis aux règles de base
Tu peux t'faire matrixer par un check de c'lards-vi
Donc mollo sur la mala, ceux qui ont la tech' le savent
Check le time

[Refrain]
Si t'es au stud' comme à l'usine, Babylone a gagné
J'vais pas baiser Kim K ou mettre des middles à Kanye
Mais vu qu'chaque jour qui passe, il s'met un peu plus à cailler
C'est plus dans la calle, approchez l'AKG
J'ai pas l'temps pour les fins d'mois, na never, nagatché
Si t'es dans l'under, il faut péter la 4G

[Outro]
Fais tes ffaires-a, laisse les galériens tâcher
Ta chance, faudra pas la gâcher
""Cause you know I gotta get it cause I came from the dirt...
Now I'm schooling these nigga's better tuck in your shirt...
Cause you know I gotta get it cause I came from the dirt...
It's a lyrical race and I just came in first..."""
7,2018-11-16,Népal,Règlement Space #3,Règlement Space,"[Paroles de ""Règlement Space #3""]

[Intro]
Mission B6GE à Sheldon. Est-ce que vous me recevez ?
On a un code 7.5... code 7.5.... Envoyez la capsule de soins

[Couplet 1]
J'veux pas savoir comment t'es, j'veux sentir comment t'aimes et j'me passe de tes commentaires
La parole est ferme comme les sses-fe à Cali Carter, pour le reste j'suis qu'un courant d'air
La course contre la montre a commencé avant qu'j'arrive et finira après qu'on m'enterre
T'es même pas un grain dans l'putain d'sablier et tu viens faire le gros, va t'encastrer dans l'...
J'finirai pas dans leur milieu, un coup t'es dans l'mal, un coup turn up
Tes mini Skepta font que forcer, j'suis sous grime depuis Boy in da Corner
Si j'fais l'tri dans mes potes ou mes pensées, c'est qu'j'me suis pas fait l'ennemi d'la lenteur
TBT La Folie des Glandeurs, deux fois à Londres et j'ai jamais vu Camden
J'les guette che-lou, ils s'donnent une date pour percer, à quoi peuvent-ils bien penser ?
J'préfère bosser l'équilibre sur la lune qui va *** mes lointains ancêtres, hey
Garde le fouet, garde le sceptre, j'suis en wheeling sur une mer de sel
T'es en roue libre sur un gramme de C, ta peur existe pas comme la mère de Cell
Démons contenus dans la cage de Bériz, ces pédés avec du cash te bénissent
Qu'ils aillent s'la mettre dans leurs soirées ches-lou, moi, j'suis posé et j'gole-ri, j'me mas-, hun
Demi dique-sa dev'nu Ero Sennin, 2018 fes-jui antisémites
Ohlala, il dit des trucs bizarres, arrêtez-le avant qu'ça devienne vraiment technique

[Pont]
Comme le Rifi, j'te goome, comme le wi-fi, j'te zoome
Coupe pas les fils, ça fait boum, coupe pas les fils, ça fait rakatakataka
Comme le wifi, j'te goome, comme le Rifi, j'te zoome
J'mets rarement d'jean, si tu rajoutes un Djinn sur un Djinn, logiquement ça fait des Jnoun (bon à savoir)

[Refrain]
Makankosappo, ma le-geu faut qu'on s'impose
Makankosappo, ma le-geu faut qu'on s'impose
Makankosappo, ma le-geu faut qu'on s'impose
Makankosappo, ma le-geu faut qu'on s'impose

[Couplet 2]
Bonnet sous scratch comme T.I, money sous cash donc Ski Mask
Onizuka, j'prends c'qui y'a (c'qui y'a, c'qui y'a, c'qui y'a)
'croyable ('croyable), une taff donc une noyade
Fume la concu' royale, récup' quatre cinquième du loyer
À quoi bon bombarder si tu ramasses pas ? Cadenassé comme Cannavaro-Thuram à Parme
Ouais, t'es en galère et tu rames à part. Sah bon cardio tant qu'il reste des cartes à abattre
Pour agrémenter chaque jour, bloqué au stud' à réinventer la roue
Prière pour mes javons qui s'enfument aux Backwoods, slaloment entre les blaveus qui s'la dégomment au rouge
7-5 pour un développement durable, casse ta mère au Honduras
Bronzés font du ski et babtous font du rap, on va pas les attendre pour la caution du toutoutoutoutoutoutoutoutoutou
J'pense aux darons et j'me dis l'temps presse, tous les hivers, j'ai la même NorthFace
J'écoute leurs sons avec la NOS face, laisse"
8,2016-07-04,Népal,Malik Al Mawt,444 Nuits,"[Paroles de ""Malik Al Mawt""]

[Couplet unique]
Paraîtrait qu'le silence est la meilleure alternative
Nous, on a choisi d'faire du bruit, pardonnez notre impertinence
Chaque jour qui passe est bon à prendre pour s'affranchir de leur matrice
Même si glissante est la piste, ils peuvent cimenter la vitre
Si on passe, ils paieront cher et j'parle pas d'finance ou c'est p't-être la nature humaine
On est faits pour vivre au soleil mais l'inspiration est dev'nue lunaire
Donc tous les soirs au point d'départ, j'fais toutes les nuits l'même trajet
D'mon subconscient à ton nerf auditif
En passant par les coins où j'aime rapper, dont j'aimerais m'rappeler
Une fois qu'j'aurai accompli mon projet, ma destinée, appelle ça comme tu veux
Les yeux d'une femme qui finira sûrement par partir, les mains qu'j'aurai serré
La drogue que j'vais sûrement reprendre et l'blaze des salopards d'ma clique
Ouais, j'pense plus souvent à toi Malik al-Mawt
Mais l'jour où tu viendras m'chercher, j't'aurai p't-être attendu
Dans des couloirs, à cher-mar au ralenti en attendant qu'la raison r'vienne, à ch'val sur deux siècles
Une sale odeur de fin d'l'espèce mais on garde la pêche
Un jour un mec m'a dit qu'tout ça c'était qu'un test, une étape
Et tant qu'le bateau reste à flot, j'fais comme si j'm'en tape
Et la race n'a pas d'importance, j'marche qu'avec des gus qui veulent rien savoir
Fidèle à mes blancs, mes noirs et à ma matière grise
À la mémoire d'Salimo également
J'oublierai pas qu'même le ciel a pleuré quand on a fini par s'revoir, och bad
7-5 dans l'dos, 4 dans l'veau-cer, 16 le millésime
Et des milliers d'autres putains d'chiffres au compteur
444 nuits"
9,2014-10-12,Népal,Skyclub,16par16,"[Paroles de ""Skyclub""]

[Couplet 1]
Les temps changent, on connait plus l'nom des fleurs
On prend la tangente, l'amertume au fond des cœurs
Fumer pendant des heures, les frelons font des tours
Les frelons font des maths puis les frelons montent un four
Parle-moi d'voyages, j'ai préparé mon paquetage
Un trajet long comme le blaze d'un malgache
Toucher l'horizon mais tu touches rien à part le SMIC
Les poumons encrassés, l'haleine fermentée par le shit
Vas-y quitte, ton tieks a pas d'barreau
A force de sky, Clyde Barrow devient Jack Paro
J'veux pas qu'ma dernière vision soit un quai d'métro
Donc j'checke les collègues de l'épaule
Et embrasse ceux tout près d'mes côtes
Ça tise le cognac, demande à Kolia
Ici, on consomme un poison doux comme la goyave
Fonce tête baissée, esse
Laisse la Terre faire un tour et reprends là où tu l'avais laissée

[Couplet 2]
Sourds à tout c'que ces gens disent, on fait nos trucs en soum
Slalome entre la soupe, tu peux dire si ça t'saoule
La matière de mes rêves pétrit mes cauchemars
Tu viens chercher ta 10 mais l'gars est au chtar
Ton chemin d'croix s'résume à faire l'bavon
Demande à Sheldavon, on est blindés comme des ailes d'avion
À chaque pas que j'fais, j'me rappelle que j'suis bien entouré
Dédicace à Adnan dans la foulée
Tu veux que j'bicrave mon ressenti, pas d'problème
Je m'en irai sur une île avec un sac d'oseille
Pour mes sales gosses, même, qui font les dièses
Avec un pack d'eau fraiche, bail de drive-by en tractopelle
Sourire amer, ici, un rien m'transporte
Les yeux plissés, le rire d'un grincement de porte, vois où ça mène
J'personnifie la distance qu'il y a entre drôle et gole-ri
Le dièse est torride, ils songent à arrêter leurs conneries"
